"State","year","rent_type","value"
"Missouri","2018","MGR - 1 BDRM",661
"Missouri","2018","MGR - 2 BDRM",819
"Missouri","2019","MGR - Total",834
"Missouri","2019","MGR - Studio",687
"Missouri","2019","MGR - 1 BDRM",683
"Missouri","2019","MGR - 2 BDRM",829
"Montana","2015","MGR - Total",763
"Montana","2015","MGR - Studio",515
"Montana","2015","MGR - 1 BDRM",558
"Montana","2015","MGR - 2 BDRM",768
"Montana","2016","MGR - Total",741
"Montana","2016","MGR - Studio",498
"Montana","2016","MGR - 1 BDRM",566
"Montana","2016","MGR - 2 BDRM",761
"Montana","2017","MGR - Total",759
"Montana","2017","MGR - Studio",577
"Montana","2017","MGR - 1 BDRM",623
"Montana","2017","MGR - 2 BDRM",781
"Montana","2018","MGR - Total",811
"Montana","2018","MGR - Studio",607
"Montana","2018","MGR - 1 BDRM",620
"Montana","2018","MGR - 2 BDRM",830
"Montana","2019","MGR - Total",831
"Montana","2019","MGR - Studio",590
"Montana","2019","MGR - 1 BDRM",660
"Montana","2019","MGR - 2 BDRM",849
"Nebraska","2015","MGR - Total",750
"Nebraska","2015","MGR - Studio",600
"Nebraska","2015","MGR - 1 BDRM",625
"Nebraska","2015","MGR - 2 BDRM",760
"Nebraska","2016","MGR - Total",769
"Nebraska","2016","MGR - Studio",569
"Nebraska","2016","MGR - 1 BDRM",635
"Nebraska","2016","MGR - 2 BDRM",773
"Nebraska","2017","MGR - Total",801
"Nebraska","2017","MGR - Studio",548
"Nebraska","2017","MGR - 1 BDRM",657
"Nebraska","2017","MGR - 2 BDRM",812
"Nebraska","2018","MGR - Total",830
"Nebraska","2018","MGR - Studio",734
"Nebraska","2018","MGR - 1 BDRM",703
"Nebraska","2018","MGR - 2 BDRM",847
"Nebraska","2019","MGR - Total",859
"Nebraska","2019","MGR - Studio",727
"Nebraska","2019","MGR - 1 BDRM",737
"Nebraska","2019","MGR - 2 BDRM",850
"Nevada","2015","MGR - Total",980
"Nevada","2015","MGR - Studio",622
"Nevada","2015","MGR - 1 BDRM",740
"Nevada","2015","MGR - 2 BDRM",922
"Nevada","2016","MGR - Total",1003
"Nevada","2016","MGR - Studio",618
"Nevada","2016","MGR - 1 BDRM",757
"Nevada","2016","MGR - 2 BDRM",928
"Nevada","2017","MGR - Total",1051
"Nevada","2017","MGR - Studio",716
"Nevada","2017","MGR - 1 BDRM",832
"Nevada","2017","MGR - 2 BDRM",978
"Nevada","2018","MGR - Total",1108
"Nevada","2018","MGR - Studio",763
"Nevada","2018","MGR - 1 BDRM",885
"Nevada","2018","MGR - 2 BDRM",1049
"Nevada","2019","MGR - Total",1168
"Nevada","2019","MGR - Studio",796
"Nevada","2019","MGR - 1 BDRM",937
"Nevada","2019","MGR - 2 BDRM",1107
"New Hampshire","2015","MGR - Total",1017
"New Hampshire","2015","MGR - Studio",718
"New Hampshire","2015","MGR - 1 BDRM",801
"New Hampshire","2015","MGR - 2 BDRM",1105
"New Hampshire","2016","MGR - Total",1026
"New Hampshire","2016","MGR - Studio",740
"New Hampshire","2016","MGR - 1 BDRM",842
"New Hampshire","2016","MGR - 2 BDRM",1094
"New Hampshire","2017","MGR - Total",1072
"New Hampshire","2017","MGR - Studio",695
"New Hampshire","2017","MGR - 1 BDRM",849
"New Hampshire","2017","MGR - 2 BDRM",1147
"New Hampshire","2018","MGR - Total",1090
"New Hampshire","2018","MGR - Studio",765
"New Hampshire","2018","MGR - 1 BDRM",854
"New Hampshire","2018","MGR - 2 BDRM",1189
"New Hampshire","2019","MGR - Total",1147
"New Hampshire","2019","MGR - Studio",756
"New Hampshire","2019","MGR - 1 BDRM",900
"New Hampshire","2019","MGR - 2 BDRM",1273
"New Jersey","2015","MGR - Total",1214
"New Jersey","2015","MGR - Studio",855
"New Jersey","2015","MGR - 1 BDRM",1024
"New Jersey","2015","MGR - 2 BDRM",1287
"New Jersey","2016","MGR - Total",1244
"New Jersey","2016","MGR - Studio",874
"New Jersey","2016","MGR - 1 BDRM",1057
"New Jersey","2016","MGR - 2 BDRM",1318
"New Jersey","2017","MGR - Total",1284
"New Jersey","2017","MGR - Studio",953
"New Jersey","2017","MGR - 1 BDRM",1092
"New Jersey","2017","MGR - 2 BDRM",1346
"New Jersey","2018","MGR - Total",1336
"New Jersey","2018","MGR - Studio",979
"New Jersey","2018","MGR - 1 BDRM",1136
"New Jersey","2018","MGR - 2 BDRM",1418
"New Jersey","2019","MGR - Total",1376
"New Jersey","2019","MGR - Studio",1059
"New Jersey","2019","MGR - 1 BDRM",1181
"New Jersey","2019","MGR - 2 BDRM",1443
"New Mexico","2015","MGR - Total",783
"New Mexico","2015","MGR - Studio",548
"New Mexico","2015","MGR - 1 BDRM",627
"New Mexico","2015","MGR - 2 BDRM",745
"New Mexico","2016","MGR - Total",804
"New Mexico","2016","MGR - Studio",565
"New Mexico","2016","MGR - 1 BDRM",643
"New Mexico","2016","MGR - 2 BDRM",782
"New Mexico","2017","MGR - Total",813
"New Mexico","2017","MGR - Studio",565
"New Mexico","2017","MGR - 1 BDRM",658
"New Mexico","2017","MGR - 2 BDRM",780
"New Mexico","2018","MGR - Total",830
"New Mexico","2018","MGR - Studio",598
"New Mexico","2018","MGR - 1 BDRM",647
"New Mexico","2018","MGR - 2 BDRM",806
"New Mexico","2019","MGR - Total",847
"New Mexico","2019","MGR - Studio",575
"New Mexico","2019","MGR - 1 BDRM",683
"New Mexico","2019","MGR - 2 BDRM",819
"New York","2015","MGR - Total",1173
"New York","2015","MGR - Studio",1091
"New York","2015","MGR - 1 BDRM",1122
"New York","2015","MGR - 2 BDRM",1180
"New York","2016","MGR - Total",1194
"New York","2016","MGR - Studio",1115
"New York","2016","MGR - 1 BDRM",1148
"New York","2016","MGR - 2 BDRM",1196
"New York","2017","MGR - Total",1226
"New York","2017","MGR - Studio",1158
"New York","2017","MGR - 1 BDRM",1177
"New York","2017","MGR - 2 BDRM",1223
"New York","2018","MGR - Total",1274
"New York","2018","MGR - Studio",1198
"New York","2018","MGR - 1 BDRM",1208
"New York","2018","MGR - 2 BDRM",1281
"New York","2019","MGR - Total",1309
"New York","2019","MGR - Studio",1218
"New York","2019","MGR - 1 BDRM",1248
"New York","2019","MGR - 2 BDRM",1320
"North Carolina","2015","MGR - Total",827
"North Carolina","2015","MGR - Studio",744
"North Carolina","2015","MGR - 1 BDRM",692
"North Carolina","2015","MGR - 2 BDRM",774
"North Carolina","2016","MGR - Total",839
"North Carolina","2016","MGR - Studio",727
"North Carolina","2016","MGR - 1 BDRM",734
"North Carolina","2016","MGR - 2 BDRM",779
"North Carolina","2017","MGR - Total",861
"North Carolina","2017","MGR - Studio",745
"North Carolina","2017","MGR - 1 BDRM",760
"North Carolina","2017","MGR - 2 BDRM",810
"North Carolina","2018","MGR - Total",900
"North Carolina","2018","MGR - Studio",765
"North Carolina","2018","MGR - 1 BDRM",801
"North Carolina","2018","MGR - 2 BDRM",846
"North Carolina","2019","MGR - Total",931
"North Carolina","2019","MGR - Studio",732
"North Carolina","2019","MGR - 1 BDRM",853
"North Carolina","2019","MGR - 2 BDRM",878
"North Dakota","2015","MGR - Total",775
"North Dakota","2015","MGR - Studio",657
"North Dakota","2015","MGR - 1 BDRM",594
"North Dakota","2015","MGR - 2 BDRM",774
"North Dakota","2016","MGR - Total",776
"North Dakota","2016","MGR - Studio",540
"North Dakota","2016","MGR - 1 BDRM",631
"North Dakota","2016","MGR - 2 BDRM",787
"North Dakota","2017","MGR - Total",785
"North Dakota","2017","MGR - Studio",618
"North Dakota","2017","MGR - 1 BDRM",637
"North Dakota","2017","MGR - 2 BDRM",790
"North Dakota","2018","MGR - Total",808
"North Dakota","2018","MGR - Studio",661
"North Dakota","2018","MGR - 1 BDRM",723
"North Dakota","2018","MGR - 2 BDRM",786
"North Dakota","2019","MGR - Total",804
"North Dakota","2019","MGR - Studio",658
"North Dakota","2019","MGR - 1 BDRM",668
"North Dakota","2019","MGR - 2 BDRM",815
"Ohio","2015","MGR - Total",746
"Ohio","2015","MGR - Studio",537
"Ohio","2015","MGR - 1 BDRM",586
"Ohio","2015","MGR - 2 BDRM",754
"Ohio","2016","MGR - Total",759
"Ohio","2016","MGR - Studio",570
"Ohio","2016","MGR - 1 BDRM",587
"Ohio","2016","MGR - 2 BDRM",767
"Ohio","2017","MGR - Total",772
"Ohio","2017","MGR - Studio",569
"Ohio","2017","MGR - 1 BDRM",604
"Ohio","2017","MGR - 2 BDRM",779
"Ohio","2018","MGR - Total",797
"Ohio","2018","MGR - Studio",605
"Ohio","2018","MGR - 1 BDRM",625
"Ohio","2018","MGR - 2 BDRM",810
"Ohio","2019","MGR - Total",813
"Ohio","2019","MGR - Studio",614
"Ohio","2019","MGR - 1 BDRM",650
"Ohio","2019","MGR - 2 BDRM",824
"Oklahoma","2015","MGR - Total",759
"Oklahoma","2015","MGR - Studio",561
"Oklahoma","2015","MGR - 1 BDRM",602
"Oklahoma","2015","MGR - 2 BDRM",742
"Oklahoma","2016","MGR - Total",744
"Oklahoma","2016","MGR - Studio",544
"Oklahoma","2016","MGR - 1 BDRM",606
"Oklahoma","2016","MGR - 2 BDRM",734
"Oklahoma","2017","MGR - Total",780
"Oklahoma","2017","MGR - Studio",607
"Oklahoma","2017","MGR - 1 BDRM",628
"Oklahoma","2017","MGR - 2 BDRM",770
"Oklahoma","2018","MGR - Total",808
"Oklahoma","2018","MGR - Studio",611
"Oklahoma","2018","MGR - 1 BDRM",637
"Oklahoma","2018","MGR - 2 BDRM",798
"Oklahoma","2019","MGR - Total",814
"Oklahoma","2019","MGR - Studio",607
"Oklahoma","2019","MGR - 1 BDRM",641
"Oklahoma","2019","MGR - 2 BDRM",793
"Oregon","2015","MGR - Total",943
"Oregon","2015","MGR - Studio",747
"Oregon","2015","MGR - 1 BDRM",781
"Oregon","2015","MGR - 2 BDRM",904
"Oregon","2016","MGR - Total",1015
"Oregon","2016","MGR - Studio",825
"Oregon","2016","MGR - 1 BDRM",848
"Oregon","2016","MGR - 2 BDRM",975
"Oregon","2017","MGR - Total",1079
"Oregon","2017","MGR - Studio",858
"Oregon","2017","MGR - 1 BDRM",890
"Oregon","2017","MGR - 2 BDRM",1043
"Oregon","2018","MGR - Total",1130
"Oregon","2018","MGR - Studio",881
"Oregon","2018","MGR - 1 BDRM",931
"Oregon","2018","MGR - 2 BDRM",1118
"Oregon","2019","MGR - Total",1185
"Oregon","2019","MGR - Studio",1017
"Oregon","2019","MGR - 1 BDRM",998
"Oregon","2019","MGR - 2 BDRM",1164
"Pennsylvania","2015","MGR - Total",868
"Pennsylvania","2015","MGR - Studio",666
"Pennsylvania","2015","MGR - 1 BDRM",720
"Pennsylvania","2015","MGR - 2 BDRM",893
"Pennsylvania","2016","MGR - Total",881
"Pennsylvania","2016","MGR - Studio",699
"Pennsylvania","2016","MGR - 1 BDRM",744
"Pennsylvania","2016","MGR - 2 BDRM",906
"Pennsylvania","2017","MGR - Total",893
"Pennsylvania","2017","MGR - Studio",755
"Pennsylvania","2017","MGR - 1 BDRM",757
"Pennsylvania","2017","MGR - 2 BDRM",915
"Pennsylvania","2018","MGR - Total",927
"Pennsylvania","2018","MGR - Studio",732
"Pennsylvania","2018","MGR - 1 BDRM",776
"Pennsylvania","2018","MGR - 2 BDRM",962
"Pennsylvania","2019","MGR - Total",951
"Pennsylvania","2019","MGR - Studio",762
"Pennsylvania","2019","MGR - 1 BDRM",805
"Pennsylvania","2019","MGR - 2 BDRM",971
"Rhode Island","2015","MGR - Total",938
"Rhode Island","2015","MGR - Studio",642
"Rhode Island","2015","MGR - 1 BDRM",710
"Rhode Island","2015","MGR - 2 BDRM",968
"Rhode Island","2016","MGR - Total",948
"Rhode Island","2016","MGR - Studio",677
"Rhode Island","2016","MGR - 1 BDRM",761
"Rhode Island","2016","MGR - 2 BDRM",988
"Rhode Island","2017","MGR - Total",941
"Rhode Island","2017","MGR - Studio",629
"Rhode Island","2017","MGR - 1 BDRM",715
"Rhode Island","2017","MGR - 2 BDRM",1000
"Rhode Island","2018","MGR - Total",998
"Rhode Island","2018","MGR - Studio",725
"Rhode Island","2018","MGR - 1 BDRM",768
"Rhode Island","2018","MGR - 2 BDRM",1065
"Rhode Island","2019","MGR - Total",1043
"Rhode Island","2019","MGR - Studio",798
"Rhode Island","2019","MGR - 1 BDRM",845
"Rhode Island","2019","MGR - 2 BDRM",1090
"South Carolina","2015","MGR - Total",819
"South Carolina","2015","MGR - Studio",668
"South Carolina","2015","MGR - 1 BDRM",655
"South Carolina","2015","MGR - 2 BDRM",783
"South Carolina","2016","MGR - Total",841
"South Carolina","2016","MGR - Studio",731
"South Carolina","2016","MGR - 1 BDRM",689
"South Carolina","2016","MGR - 2 BDRM",799
"South Carolina","2017","MGR - Total",848
"South Carolina","2017","MGR - Studio",696
"South Carolina","2017","MGR - 1 BDRM",727
"South Carolina","2017","MGR - 2 BDRM",822
"South Carolina","2018","MGR - Total",892
"South Carolina","2018","MGR - Studio",737
"South Carolina","2018","MGR - 1 BDRM",778
"South Carolina","2018","MGR - 2 BDRM",839
"South Carolina","2019","MGR - Total",922
"South Carolina","2019","MGR - Studio",667
"South Carolina","2019","MGR - 1 BDRM",827
"South Carolina","2019","MGR - 2 BDRM",879
"South Dakota","2015","MGR - Total",675
"South Dakota","2015","MGR - Studio",423
"South Dakota","2015","MGR - 1 BDRM",532
"South Dakota","2015","MGR - 2 BDRM",692
"South Dakota","2016","MGR - Total",706
"South Dakota","2016","MGR - Studio",559
"South Dakota","2016","MGR - 1 BDRM",512
"South Dakota","2016","MGR - 2 BDRM",758
"South Dakota","2017","MGR - Total",722
"South Dakota","2017","MGR - Studio",575
"South Dakota","2017","MGR - 1 BDRM",556
"South Dakota","2017","MGR - 2 BDRM",752
"South Dakota","2018","MGR - Total",734
"South Dakota","2018","MGR - Studio",563
"South Dakota","2018","MGR - 1 BDRM",564
"South Dakota","2018","MGR - 2 BDRM",755
"South Dakota","2019","MGR - Total",769
"South Dakota","2019","MGR - Studio",592
"South Dakota","2019","MGR - 1 BDRM",600
"South Dakota","2019","MGR - 2 BDRM",790
"Tennessee","2015","MGR - Total",785
"Tennessee","2015","MGR - Studio",577
"Tennessee","2015","MGR - 1 BDRM",632
"Tennessee","2015","MGR - 2 BDRM",755
"Tennessee","2016","MGR - Total",806
"Tennessee","2016","MGR - Studio",642
"Tennessee","2016","MGR - 1 BDRM",668
"Tennessee","2016","MGR - 2 BDRM",779
"Tennessee","2017","MGR - Total",833
"Tennessee","2017","MGR - Studio",669
"Tennessee","2017","MGR - 1 BDRM",683
"Tennessee","2017","MGR - 2 BDRM",787
"Tennessee","2018","MGR - Total",861
"Tennessee","2018","MGR - Studio",745
"Tennessee","2018","MGR - 1 BDRM",716
"Tennessee","2018","MGR - 2 BDRM",828
"Tennessee","2019","MGR - Total",904
"Tennessee","2019","MGR - Studio",746
"Tennessee","2019","MGR - 1 BDRM",780
"Tennessee","2019","MGR - 2 BDRM",866
"Texas","2015","MGR - Total",932
"Texas","2015","MGR - Studio",740
"Texas","2015","MGR - 1 BDRM",792
"Texas","2015","MGR - 2 BDRM",919
"Texas","2016","MGR - Total",956
"Texas","2016","MGR - Studio",779
"Texas","2016","MGR - 1 BDRM",832
"Texas","2016","MGR - 2 BDRM",939
"Texas","2017","MGR - Total",987
"Texas","2017","MGR - Studio",788
"Texas","2017","MGR - 1 BDRM",863
"Texas","2017","MGR - 2 BDRM",973
"Texas","2018","MGR - Total",1046
"Texas","2018","MGR - Studio",845
"Texas","2018","MGR - 1 BDRM",914
"Texas","2018","MGR - 2 BDRM",1040
"Texas","2019","MGR - Total",1091
"Texas","2019","MGR - Studio",900
"Texas","2019","MGR - 1 BDRM",954
"Texas","2019","MGR - 2 BDRM",1083
"Utah","2015","MGR - Total",925
"Utah","2015","MGR - Studio",580
"Utah","2015","MGR - 1 BDRM",750
"Utah","2015","MGR - 2 BDRM",857
"Utah","2016","MGR - Total",954
"Utah","2016","MGR - Studio",734
"Utah","2016","MGR - 1 BDRM",764
"Utah","2016","MGR - 2 BDRM",893
"Utah","2017","MGR - Total",986
"Utah","2017","MGR - Studio",684
"Utah","2017","MGR - 1 BDRM",804
"Utah","2017","MGR - 2 BDRM",920
"Utah","2018","MGR - Total",1043
"Utah","2018","MGR - Studio",789
"Utah","2018","MGR - 1 BDRM",845
"Utah","2018","MGR - 2 BDRM",959
"Utah","2019","MGR - Total",1098
"Utah","2019","MGR - Studio",835
"Utah","2019","MGR - 1 BDRM",922
"Utah","2019","MGR - 2 BDRM",1055
"Vermont","2015","MGR - Total",923
"Vermont","2015","MGR - Studio",640
"Vermont","2015","MGR - 1 BDRM",778
"Vermont","2015","MGR - 2 BDRM",1041
"Vermont","2016","MGR - Total",925
"Vermont","2016","MGR - Studio",745
"Vermont","2016","MGR - 1 BDRM",765
"Vermont","2016","MGR - 2 BDRM",1023
"Vermont","2017","MGR - Total",950
"Vermont","2017","MGR - Studio",683
"Vermont","2017","MGR - 1 BDRM",761
"Vermont","2017","MGR - 2 BDRM",1078
"Vermont","2018","MGR - Total",969
"Vermont","2018","MGR - Studio",706
"Vermont","2018","MGR - 1 BDRM",797
"Vermont","2018","MGR - 2 BDRM",1131
"Vermont","2019","MGR - Total",980
"Vermont","2019","MGR - Studio",794
"Vermont","2019","MGR - 1 BDRM",825
"Vermont","2019","MGR - 2 BDRM",1127
"Virginia","2015","MGR - Total",1144
"Virginia","2015","MGR - Studio",1001
"Virginia","2015","MGR - 1 BDRM",991
"Virginia","2015","MGR - 2 BDRM",1064
"Virginia","2016","MGR - Total",1159
"Virginia","2016","MGR - Studio",1081
"Virginia","2016","MGR - 1 BDRM",1024
"Virginia","2016","MGR - 2 BDRM",1064
"Virginia","2017","MGR - Total",1179
"Virginia","2017","MGR - Studio",1087
"Virginia","2017","MGR - 1 BDRM",1063
"Virginia","2017","MGR - 2 BDRM",1074
"Virginia","2018","MGR - Total",1215
"Virginia","2018","MGR - Studio",1112
"Virginia","2018","MGR - 1 BDRM",1131
"Virginia","2018","MGR - 2 BDRM",1126
"Virginia","2019","MGR - Total",1254
"Virginia","2019","MGR - Studio",1264
"Virginia","2019","MGR - 1 BDRM",1153
"Virginia","2019","MGR - 2 BDRM",1172
"Washington","2015","MGR - Total",1080
"Washington","2015","MGR - Studio",872
"Washington","2015","MGR - 1 BDRM",872
"Washington","2015","MGR - 2 BDRM",1031
"Washington","2016","MGR - Total",1135
"Washington","2016","MGR - Studio",944
"Washington","2016","MGR - 1 BDRM",953
"Washington","2016","MGR - 2 BDRM",1088
"Washington","2017","MGR - Total",1216
"Washington","2017","MGR - Studio",1066
"Washington","2017","MGR - 1 BDRM",1030
"Washington","2017","MGR - 2 BDRM",1180
"Washington","2018","MGR - Total",1316
"Washington","2018","MGR - Studio",1134
"Washington","2018","MGR - 1 BDRM",1149
"Washington","2018","MGR - 2 BDRM",1259
"Washington","2019","MGR - Total",1359
"Washington","2019","MGR - Studio",1171
"Washington","2019","MGR - 1 BDRM",1190
"Washington","2019","MGR - 2 BDRM",1336
"West Virginia","2015","MGR - Total",675
"West Virginia","2015","MGR - Studio",754
"West Virginia","2015","MGR - 1 BDRM",495
"West Virginia","2015","MGR - 2 BDRM",670
"West Virginia","2016","MGR - Total",682
"West Virginia","2016","MGR - Studio",595
"West Virginia","2016","MGR - 1 BDRM",515
"West Virginia","2016","MGR - 2 BDRM",672
"West Virginia","2017","MGR - Total",690
"West Virginia","2017","MGR - Studio",434
"West Virginia","2017","MGR - 1 BDRM",515
"West Virginia","2017","MGR - 2 BDRM",691
"West Virginia","2018","MGR - Total",735
"West Virginia","2018","MGR - Studio",667
"West Virginia","2018","MGR - 1 BDRM",557
"West Virginia","2018","MGR - 2 BDRM",723
"West Virginia","2019","MGR - Total",727
"West Virginia","2019","MGR - Studio",539
"West Virginia","2019","MGR - 1 BDRM",540
"West Virginia","2019","MGR - 2 BDRM",739
"Wisconsin","2015","MGR - Total",792
"Wisconsin","2015","MGR - Studio",607
"Wisconsin","2015","MGR - 1 BDRM",633
"Wisconsin","2015","MGR - 2 BDRM",810
"Wisconsin","2016","MGR - Total",802
"Wisconsin","2016","MGR - Studio",607
"Wisconsin","2016","MGR - 1 BDRM",658
"Wisconsin","2016","MGR - 2 BDRM",808
"Wisconsin","2017","MGR - Total",819
"Wisconsin","2017","MGR - Studio",646
"Wisconsin","2017","MGR - 1 BDRM",658
"Wisconsin","2017","MGR - 2 BDRM",830
"Wisconsin","2018","MGR - Total",847
"Wisconsin","2018","MGR - Studio",647
"Wisconsin","2018","MGR - 1 BDRM",688
"Wisconsin","2018","MGR - 2 BDRM",860
"Wisconsin","2019","MGR - Total",867
"Wisconsin","2019","MGR - Studio",727
"Wisconsin","2019","MGR - 1 BDRM",706
"Wisconsin","2019","MGR - 2 BDRM",881
"Wyoming","2015","MGR - Total",815
"Wyoming","2015","MGR - Studio",607
"Wyoming","2015","MGR - 1 BDRM",604
"Wyoming","2015","MGR - 2 BDRM",747
"Wyoming","2016","MGR - Total",840
"Wyoming","2016","MGR - Studio",631
"Wyoming","2016","MGR - 1 BDRM",644
"Wyoming","2016","MGR - 2 BDRM",785
"Wyoming","2017","MGR - Total",832
"Wyoming","2017","MGR - Studio",598
"Wyoming","2017","MGR - 1 BDRM",634
"Wyoming","2017","MGR - 2 BDRM",785
"Wyoming","2018","MGR - Total",818
"Wyoming","2018","MGR - Studio",725
"Wyoming","2018","MGR - 1 BDRM",605
"Wyoming","2018","MGR - 2 BDRM",785
"Wyoming","2019","MGR - Total",822
"Wyoming","2019","MGR - Studio",411
"Wyoming","2019","MGR - 1 BDRM",611
"Wyoming","2019","MGR - 2 BDRM",800
